[s]	o	p
<https://w3id.org/geochem/1.0/mingroup/1016>	gcmin:localitycount	3493
<https://w3id.org/geochem/1.0/mingroup/1016>	rdfs:comment	A group of mostly monoclinic (also triclinic or orthorhombic) micaceous phyllosilicate minerals
<https://w3id.org/geochem/1.0/mingroup/1016>	skos:exactMatch	<https://www.mindat.org/1:1:1016:6>
<https://w3id.org/geochem/1.0/mingroup/1016>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/1016>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/1016>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/1016>	rdfs:label	Chlorite Group
<https://w3id.org/geochem/1.0/mingroup/1016>	skos:prefLabel	Chlorite Group
<https://w3id.org/geochem/1.0/mingroup/1016>	gcmin:normalizedcount	3188
<https://w3id.org/geochem/1.0/mingroup/1016>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/1016>	gcmin:mindatid	min-1016
<https://w3id.org/geochem/1.0/mingroup/1016>	skos:broader	strunz:s09_EC
<https://w3id.org/geochem/1.0/mingroup/1016>	skos:definition	A group of mostly monoclinic (also triclinic or orthorhombic) micaceous phyllosilicate minerals
<https://w3id.org/geochem/1.0/mingroup/1016>	gcmin:mindaturl	https://www.mindat.org/min-1016.html
<https://w3id.org/geochem/1.0/mingroup/10272>	rdfs:label	Garnet
<https://w3id.org/geochem/1.0/mingroup/10272>	gcmin:normalizedcount	7547
<https://w3id.org/geochem/1.0/mingroup/10272>	rdfs:comment	"a group of silicate minerals with the same structure. All species of garnets possess similar physical properties and crystal forms, but differ in chemical composition. The different species are pyrope, almandine, spessartine, grossular (varieties of which are hessonite or cinnamon-stone and tsavorite), uvarovite and andradite. The garnets make up two solid solution series: pyrope-almandine-spessartine and uvarovite-grossular-andradite.(https://en.wikipedia.org/wiki/Garnet)"
<https://w3id.org/geochem/1.0/mingroup/10272>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/10272>	skos:prefLabel	Garnet
<https://w3id.org/geochem/1.0/mingroup/10272>	skos:broader	strunz:s09_AD
<https://w3id.org/geochem/1.0/mingroup/10272>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/10272>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/10272>	gcmin:localitycount	9194
<https://w3id.org/geochem/1.0/mingroup/10272>	dcterm:source	gcmin:SMRadditions
<https://w3id.org/geochem/1.0/mingroup/10272>	gcmin:mindatid	min-10272
<https://w3id.org/geochem/1.0/mingroup/10272>	rdfs:label	Garnet Group
<https://w3id.org/geochem/1.0/mingroup/10272>	gcmin:mindaturl	https://www.mindat.org/min-10272.html
<https://w3id.org/geochem/1.0/mingroup/10272>	rdfs:comment	Added by SMR.  full name is Garnet Group
<https://w3id.org/geochem/1.0/mingroup/10272>	skos:exactMatch	<https://www.mindat.org/1:1:10272:0>
<https://w3id.org/geochem/1.0/mingroup/10272>	skos:prefLabel	Garnet Group
<https://w3id.org/geochem/1.0/mingroup/10272>	gcmin:localitycount	9196
<https://w3id.org/geochem/1.0/mingroup/10272>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/10272>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/10272>	skos:exactMatch	gsqmin:garnet
<https://w3id.org/geochem/1.0/mingroup/10272>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/1651>
<https://w3id.org/geochem/1.0/mingroup/10922>	skos:broader	strunz:s02_CB
