label	longid	s	uri	strunz
?echite	1:1:925:6	gcmin:cechite	<https://www.mindat.org/1:1:925:6>	08.BH.40
?ejkaite	1:1:7105:1	gcmin:cejkaite	<https://www.mindat.org/1:1:7105:1>	05.ED.50
Abellaite	1:1:47008:3	gcmin:abellaite	<https://www.mindat.org/1:1:47008:3>	05.BE.X
Abelsonite	1:1:1:5	gcmin:abelsonite	<https://www.mindat.org/1:1:1:5>	10.CA.20
Abenakiite-(Ce)	1:1:2:4	gcmin:abenakiite-ce	<https://www.mindat.org/1:1:2:4>	09.CK.10
Abernathyite	1:1:3:3	gcmin:abernathyite	<https://www.mindat.org/1:1:3:3>	08.EB.15
Abhurite	1:1:4:2	gcmin:abhurite	<https://www.mindat.org/1:1:4:2>	03.DA.30
Abramovite	1:1:29261:6	gcmin:abramovite	<https://www.mindat.org/1:1:29261:6>	02.HF.25a
Abswurmbachite	1:1:9:7	gcmin:abswurmbachite	<https://www.mindat.org/1:1:9:7>	09.AG.05
Abuite	1:1:46490:3	gcmin:abuite	<https://www.mindat.org/1:1:46490:3>	08.B
Acanthite	1:1:10:5	gcmin:acanthite	<https://www.mindat.org/1:1:10:5>	02.BA.35
Acetamide	1:1:13:6	gcmin:acetamide	<https://www.mindat.org/1:1:13:6>	10.AA.20
Achalaite	1:1:46039:6	gcmin:achalaite	<https://www.mindat.org/1:1:46039:6>	04.D
Achávalite	1:1:14:3	gcmin:achavalite	<https://www.mindat.org/1:1:14:3>	02.CC.05
Achyrophanite	1:1:52919:4	gcmin:achyrophanite	<https://www.mindat.org/1:1:52919:4>	08.BF.30
Acmonidesite	1:1:45955:8	gcmin:acmonidesite	<https://www.mindat.org/1:1:45955:8>	07.BC
Actinolite	1:1:18:1	gcmin:actinolite	<https://www.mindat.org/1:1:18:1>	09.DE.10
Acuminite	1:1:19:8	gcmin:acuminite	<https://www.mindat.org/1:1:19:8>	03.CC.10
Adamite	1:1:21:1	gcmin:adamite	<https://www.mindat.org/1:1:21:1>	08.BB.30
Adamsite-(Y)	1:1:7088:7	gcmin:adamsite-y	<https://www.mindat.org/1:1:7088:7>	05.CC.30
Adanite	1:1:54113:2	gcmin:adanite	<https://www.mindat.org/1:1:54113:2>	07.BD
Adelite	1:1:23:5	gcmin:adelite	<https://www.mindat.org/1:1:23:5>	08.BH.35
Admontite	1:1:27:3	gcmin:admontite	<https://www.mindat.org/1:1:27:3>	06.FA.15
Adolfpateraite	1:1:42458:9	gcmin:adolfpateraite	<https://www.mindat.org/1:1:42458:9>	07.EC
Adranosite	1:1:39324:3	gcmin:adranosite	<https://www.mindat.org/1:1:39324:3>	07.BC
Adranosite-(Fe)	1:1:38898:6	gcmin:adranosite-fe	<https://www.mindat.org/1:1:38898:6>	07.BC
Aegirine	1:1:31:0	gcmin:aegirine	<https://www.mindat.org/1:1:31:0>	09.DA.25
