s	l	sources
meth:geochronology40ar39ar	40Ar-39Ar geochronology	https://w3id.org/geochem/1.0/agent/orex
meth:afmtopographyimaging	AFM topography imaging	https://w3id.org/geochem/1.0/agent/orex | https://lnf-wiki.eecs.umich.edu/wiki/Atomic_force_microscopy | https://doi.org/10.1007/978-3-642-16712-6_496
meth:acceleratormassspectrometry	Accelerator mass spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch | https://w3id.org/geochem/1.0/agent/astromat
meth:acidreactioncarbonateanalysis	Acid reaction carbonate analysis	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:particleinducedactivationanalysis	Activation analysis	https://doi.org/10.1515/pac-2019-0302 | https://w3id.org/geochem/1.0/agent/georoc
meth:adsorptionanalysis	Adsorption analysis	http://www.cyto.purdue.edu/cdroms/cyto2/6/coulter/ss000107.htm | https://w3id.org/geochem/1.0/agent/georoc
meth:alphaparticlecounting	Alpha particle counting	https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/georoc
meth:alphaparticlespectrometry	Alpha particle spectrometry	https://w3id.org/geochem/1.0/agent/georoc | https://en.wikipedia.org/wiki/Alpha-particle_spectroscopy
meth:alpharecoiltrackcounting	Alpha recoil track counting	https://w3id.org/geochem/1.0/agent/georoc | https://doi.org/10.1016/S0009-2541(99)00185-0
meth:amperometry	Amperometry	https://w3id.org/geochem/1.0/agent/geox | https://doi.org/10.1515/pac-2018-0109
meth:analyticalmethod	Analytical method	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:angleofreposemeasurement	Angle of repose measurement	https://w3id.org/geochem/1.0/agent/orex
meth:anionchromatographyanalysis	Anion chromatography analysis	https://en.wikipedia.org/wiki/Ion_chromatography | https://w3id.org/geochem/1.0/agent/petdb
meth:atomprobetomography	Atom probe tomography	https://en.wikipedia.org/wiki/Atom_probe | https://w3id.org/geochem/1.0/agent/orex
meth:atomicabsorptionspectrometry	Atomic absorption spectrometry	https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/geox | https://en.wikipedia.org/wiki/Atomic_absorption_spectroscopy
meth:atomicforcemicroscopy	Atomic force microscopy	https://en.wikipedia.org/wiki/Atomic_force_microscopy
meth:augerelectronspectroscopy	Auger electron spectroscopy	https://en.wikipedia.org/wiki/Auger_electron_spectroscopy | https://w3id.org/geochem/1.0/agent/astromat
meth:backscatteredelectrongrainboundarymap	Backscattered electron grain boundary imaging	https://w3id.org/geochem/1.0/agent/orex
meth:backscatteredelectronimaging	Backscattered electron imaging	https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/georoc
meth:benchchemistry	Bench chemistry	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:betacounting	Beta counting	https://w3id.org/geochem/1.0/agent/petdb | https://doi.org/10.1016/S0376-7388(98)00174-4
meth:bioanalyticalmethod	Bioanalytical method	https://w3id.org/geochem/1.0/analyticalmethod/smrAddGeneralGeoX
meth:broadbeamxrayspectrometry	Broad beam X-ray spectrometry	https://w3id.org/geochem/1.0/agent/astromat
meth:capacitancedilatometry	Capacitance dilatometry	https://w3id.org/geochem/1.0/agent/orex | https://en.wikipedia.org/wiki/Dilatometer
meth:carbonatebombanalysis	Carbonate bomb analysis	https://w3id.org/geochem/1.0/agent/georoc
meth:catalyticcombustionanalysis	Catalytic combustion analysis	https://w3id.org/geochem/1.0/agent/georoc
meth:cathodoluminescenceimaging	Cathodoluminescence imaging	https://w3id.org/geochem/1.0/agent/orex | https://www.delmic.com/en/techniques/cathodoluminescence
meth:cationchromatographyanalysis	Cation chromatography analysis	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory | https://en.wikipedia.org/wiki/Ion_chromatography
meth:charmographanalysis	Charmograph analysis	https://w3id.org/geochem/1.0/agent/georoc
meth:chromatographyanalysis	Chromatography analysis	https://en.wikipedia.org/wiki/Chromatography | https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:colormetricanalysis	Colormetric analysis	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/petdb | https://www.encyclopedia.com/science/dictionaries-thesauruses-pictures-and-press-releases/colorimetric-analysis
meth:combustionionchromatography	Combustion Ion Chromatography	https://www.teinstruments.com/faq/combustion-ion-chromatography/ | https://www.thermofisher.com/order/catalog/product/IQLAAAGADHFAMJMBIQ | https://w3id.org/geochem/1.0/agent/petdb
meth:combustionanalysis	Combustion analysis	https://preparatorychemistry.com/Bishop_Combustion_Analysis.htm | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/georoc
meth:combustiongaschromatography	Combustion gas chromatography	https://doi.org/10.1021/ed046p441
meth:combustiongaschromatographyisotopicratiomassspectrometry	Combustion gas chromatography isotopic ratio mass spectrometry	https://w3id.org/geochem/1.0/agent/orex
meth:combustioninfraredspectrometry	Combustion infrared spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:compressiontest	Compression test	https://w3id.org/geochem/1.0/agent/orex
meth:confocalxrayfluorescencespectrometry	Confocal X-ray fluorescence spectrometry	https://www.xos.com/Confocal-XRF | https://w3id.org/geochem/1.0/agent/orex
meth:continuousflowisotoperatiomassspectrometry	Continuous flow isotope ratio mass spectrometry	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/petdb
meth:coulometricalanalysis	Coulometrical analysis	https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat
meth:dnasequencing	DNA sequencing	https://w3id.org/geochem/1.0/agent/geox | https://doi.org/10.1515/iupac.90.0262
meth:desorptionelectrosprayionizationorbitrapmassspectrometry	Desorption electrospray ionization orbitrap mass spectrometry	https://w3id.org/geochem/1.0/agent/orex
meth:deuteronactivationanalysis	Deuteron activation analysis	https://doi.org/10.1007/BF02520983 | https://w3id.org/geochem/1.0/agent/georoc
meth:dietrichfruhlingcalcimetry	Dietrich-Fruhling calcimetry	https://www.gabbrielli.com/en/prodotto/dietrich-fruhling-calcimeter/ | https://w3id.org/geochem/1.0/agent/georoc
