s	label	mindatid	mindatLongid	strunz10.1	strunz10.2	strunz10.3	parent	skos:broader	
gsmin:aktashite	Aktashite	74	1:1:74:7	2	GA	30	s02_GA	gkosg:s02_GA	gsmin:aktashite  gsmin:mindaturi  <https://www.mindat.org/1:1:74:7> .
gsmin:balipholite	Balipholite	495	1:1:495:0	9	DB	05	s09_DB	gkosg:s09_DB	gsmin:balipholite  gsmin:mindaturi  <https://www.mindat.org/1:1:495:0> .
gsmin:bismutostibiconite	Bismutostibiconite	659	1:1:659:6	4	DH	20	s04_DH	gkosg:s04_DH	gsmin:bismutostibiconite  gsmin:mindaturi  <https://www.mindat.org/1:1:659:6> .
gsmin:bindheimite	Bindheimite	676	1:1:676:3	4	DH	20	s04_DH	gkosg:s04_DH	gsmin:bindheimite  gsmin:mindaturi  <https://www.mindat.org/1:1:676:3> .
gsmin:crawfordite	Crawfordite	1148	1:1:1148:4	5	BF	10	s05_BF	gkosg:s05_BF	gsmin:crawfordite  gsmin:mindaturi  <https://www.mindat.org/1:1:1148:4> .
gsmin:cupropavonite	Cupropavonite	1187	1:1:1187:3	2	JA	05a	s02_JA	gkosg:s02_JA	gsmin:cupropavonite  gsmin:mindaturi  <https://www.mindat.org/1:1:1187:3> .
gsmin:giorgiosite	Giorgiosite	1697	1:1:1697:7	5	DA	05	s05_DA	gkosg:s05_DA	gsmin:giorgiosite  gsmin:mindaturi  <https://www.mindat.org/1:1:1697:7> .
gsmin:hanawaltite	Hanawaltite	1813	1:1:1813:1	3	DD	15	s03_DD	gkosg:s03_DD	gsmin:hanawaltite  gsmin:mindaturi  <https://www.mindat.org/1:1:1813:1> .
gsmin:hectorite	Hectorite	1841	1:1:1841:4	9	EC	45	s09_EC	gkosg:s09_EC	gsmin:hectorite  gsmin:mindaturi  <https://www.mindat.org/1:1:1841:4> .
gsmin:heliophyllite	Heliophyllite	1850	1:1:1850:6	3	DC	65	s03_DC	gkosg:s03_DC	gsmin:heliophyllite  gsmin:mindaturi  <https://www.mindat.org/1:1:1850:6> .
