s	label	mindatid
gsmin:abellaite	Abellaite	47008
gsmin:abelsonite	Abelsonite	1
gsmin:abenakiite-ce	Abenakiite-(Ce)	2
gsmin:abernathyite	Abernathyite	3
gsmin:abhurite	Abhurite	4
gsmin:abramovite	Abramovite	29261
gsmin:abswurmbachite	Abswurmbachite	9
gsmin:abuite	Abuite	46490
gsmin:acanthite	Acanthite	10
gsmin:acetamide	Acetamide	13
gsmin:achalaite	Achalaite	46039
gsmin:achyrophanite	Achyrophanite	52919
gsmin:achavalite	Achávalite	14
gsmin:acmonidesite	Acmonidesite	45955
gsmin:actinolite	Actinolite	18
gsmin:acuminite	Acuminite	19
gsmin:adamite	Adamite	21
gsmin:adamsite-y	Adamsite-(Y)	7088
gsmin:adelite	Adelite	23
gsmin:admontite	Admontite	27
gsmin:adolfpateraite	Adolfpateraite	42458
gsmin:adranosite	Adranosite	39324
gsmin:adranosite-fe	Adranosite-(Fe)	38898
gsmin:aegirine	Aegirine	31
gsmin:aegirine-augite	Aegirine-augite	32
gsmin:aenigmatite	Aenigmatite	33
gsmin:aerinite	Aerinite	34
gsmin:aerugite	Aerugite	36
gsmin:aeschynite-ce	Aeschynite-(Ce)	37
gsmin:aeschynite-nd	Aeschynite-(Nd)	38
gsmin:aeschynite-y	Aeschynite-(Y)	39
gsmin:afghanite	Afghanite	41
gsmin:afmite	Afmite	40242
gsmin:afwillite	Afwillite	42
gsmin:agaite	Agaite	42745
gsmin:agardite-la	Agardite-(La)	50
gsmin:agardite-nd	Agardite-(Nd)	43
gsmin:agardite-y	Agardite-(Y)	44
gsmin:agrellite	Agrellite	57
gsmin:agricolaite	Agricolaite	39868
gsmin:agrinierite	Agrinierite	58
gsmin:aguilarite	Aguilarite	59
gsmin:aheylite	Aheylite	60
gsmin:ahlfeldite	Ahlfeldite	61
gsmin:aikinite	Aikinite	63
gsmin:aiolosite	Aiolosite	38693
gsmin:ajoite	Ajoite	66
gsmin:akaganeite	Akaganeite	67
gsmin:akaogiite	Akaogiite	35912
gsmin:akatoreite	Akatoreite	68
gsmin:akdalaite	Akdalaite	69
gsmin:akhtenskite	Akhtenskite	71
gsmin:aklimaite	Aklimaite	42244
gsmin:akrochordite	Akrochordite	72
gsmin:aksaite	Aksaite	73
gsmin:aktashite	Aktashite	74
gsmin:alabandite	Alabandite	89
gsmin:alacranite	Alacránite	91
gsmin:alamosite	Alamosite	93
gsmin:alarsite	Alarsite	94
gsmin:albrechtschraufite	Albrechtschraufite	97
gsmin:alburnite	Alburnite	43596
gsmin:alcaparrosaite	Alcaparrosaite	42525
gsmin:aldermanite	Aldermanite	104
gsmin:aldridgeite	Aldridgeite	40398
gsmin:aleksandrovite	Aleksandrovite	39438
gsmin:aleksite	Aleksite	108
gsmin:alflarsenite	Alflarsenite	38701
gsmin:alforsite	Alforsite	112
gsmin:alfredstelznerite	Alfredstelznerite	35790
gsmin:algodonite	Algodonite	114
gsmin:aliettite	Aliettite	115
gsmin:allactite	Allactite	122
gsmin:allanite-ce	Allanite-(Ce)	125
gsmin:allanite-la	Allanite-(La)	126
gsmin:allanite-y	Allanite-(Y)	127
gsmin:allanpringite	Allanpringite	27431
gsmin:allargentum	Allargentum	128
gsmin:alleghanyite	Alleghanyite	129
gsmin:allochalcoselite	Allochalcoselite	27596
gsmin:alloclasite	Alloclasite	134
gsmin:alloriite	Alloriite	29546
gsmin:alluaivite	Alluaivite	141
gsmin:alluaudite	Alluaudite	142
gsmin:almandine	Almandine	452
gsmin:almarudite	Almarudite	25681
gsmin:alnaperboeite-ce	Alnaperbøeite-(Ce)	43577
gsmin:alpersite	Alpersite	27526
gsmin:alsakharovite-zn	Alsakharovite-Zn	26417
gsmin:alstonite	Alstonite	146
gsmin:altaite	Altaite	147
gsmin:althausite	Althausite	148
gsmin:althupite	Althupite	149
gsmin:altisite	Altisite	150
gsmin:alum-k	Alum-(K)	3267
gsmin:alum-na	Alum-(Na)	3703
gsmin:aluminite	Aluminite	154
gsmin:aluminium	Aluminium	107
gsmin:aluminoceladonite	Aluminoceladonite	6795
gsmin:aluminocerite-ce	Aluminocerite-(Ce)	38991
gsmin:aluminocopiapite	Aluminocopiapite	87
gsmin:aluminocoquimbite	Aluminocoquimbite	40001
gsmin:aluminomagnesiohulsite	Aluminomagnesiohulsite	26444
gsmin:aluminopyracmonite	Aluminopyracmonite	43521
gsmin:alumohydrocalcite	Alumohydrocalcite	157
gsmin:alumoklyuchevskite	Alumoklyuchevskite	6799
gsmin:alumotantite	Alumotantite	159
gsmin:alumoakermanite	Alumoåkermanite	39212
gsmin:alunite	Alunite	161
gsmin:alunogen	Alunogen	162
gsmin:alvanite	Alvanite	165
gsmin:amakinite	Amakinite	180
gsmin:amarantite	Amarantite	182
gsmin:amarillite	Amarillite	183
gsmin:amblygonite	Amblygonite	189
gsmin:ambrinoite	Ambrinoite	39789
gsmin:ameghinite	Ameghinite	195
gsmin:amesite	Amesite	197
gsmin:amicite	Amicite	199
gsmin:aminoffite	Aminoffite	200
gsmin:ammineite	Ammineite	38895
gsmin:ammonioalunite	Ammonioalunite	203
gsmin:ammonioborite	Ammonioborite	204
gsmin:ammoniojarosite	Ammoniojarosite	205
gsmin:ammonioleucite	Ammonioleucite	206
gsmin:ammoniomagnesiovoltaite	Ammoniomagnesiovoltaite	39666
gsmin:amstallite	Amstallite	208
gsmin:analcime	Analcime	210
gsmin:anandite	Anandite	456
gsmin:anapaite	Anapaite	211
gsmin:anatase	Anatase	213
gsmin:ancylite-ce	Ancylite-(Ce)	216
gsmin:ancylite-la	Ancylite-(La)	216
gsmin:andalusite	Andalusite	217
gsmin:andersonite	Andersonite	219
gsmin:andorite_iv	Andorite IV	11345
gsmin:andorite_vi	Andorite VI	29150
gsmin:andradite	Andradite	223
gsmin:andrianovite	Andrianovite	31664
gsmin:andremeyerite	Andrémeyerite	225
gsmin:anduoite	Anduoite	227
gsmin:andyrobertsite	Andyrobertsite	6802
gsmin:angarfite	Angarfite	41909
gsmin:angastonite	Angastonite	35972
gsmin:angelellite	Angelellite	231
gsmin:anglesite	Anglesite	233
gsmin:anhydrite	Anhydrite	234
gsmin:anhydrokainite	Anhydrokainite	235
gsmin:anilite	Anilite	236
gsmin:ankerite	Ankerite	239
gsmin:ankinovichite	Ankinovichite	11516
gsmin:annabergite	Annabergite	240
gsmin:annite	Annite	241
gsmin:annivite	Annivite	26713
gsmin:anorpiment	Anorpiment	42349
gsmin:anorthominasragrite	Anorthominasragrite	25587
