s	label	def
min:abellaite	Abellaite	NaPb2(CO3)2(OH) Nickel-Strunz 05.BE.X
min:abelsonite	Abelsonite	Ni(C31H32N4) Nickel-Strunz 10.CA.20
min:abenakiite-ce	Abenakiite-(Ce)	Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O Nickel-Strunz 09.CK.10
min:abernathyite	Abernathyite	K(UO2)(AsO4) · 3H2O Nickel-Strunz 08.EB.15
min:abhurite	Abhurite	Sn21Cl16(OH)14O6 Nickel-Strunz 03.DA.30
min:abramovite	Abramovite	Pb2SnInBiS7 Nickel-Strunz 02.HF.25a
min:absite	Absite	Ti7U2ThO20.5H2O Nickel-Strunz 04.DH.05
min:abswurmbachite	Abswurmbachite	CuMn3+6(SiO4)O8 Nickel-Strunz 09.AG.05
min:abuite	Abuite	CaAl2(PO4)2F2 Nickel-Strunz 08.B0.
min:acanthite	Acanthite	Ag2S Nickel-Strunz 02.BA.35
min:acetamide	Acetamide	CH3CONH2 Nickel-Strunz 10.AA.20
min:achalaite	Achalaite	(Fe2+,Mn)(Ti,Fe3+,Ta)(Nb,Ta)2O8 Nickel-Strunz 04.D0.
min:achyrophanite	Achyrophanite	(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5 Nickel-Strunz 08.AC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:achavalite	Achávalite	(Fe,Cu)Se Nickel-Strunz 02.CC.05
min:acmonidesite	Acmonidesite	(NH4,K,Pb)8NaFe2+4(SO4)5Cl8 Nickel-Strunz 07.AC.
min:actinolite	Actinolite	˜?{Ca2}{Mg4.5-2.5Fe0.5-2.5}(Si8O22)(OH)2 Nickel-Strunz 09.DE.10
min:acuminite	Acuminite	Sr[AlF4(OH)(H2O)] Nickel-Strunz 03.CC.10
min:adachiite	Adachiite	CaFe3Al6(Si5AlO18)(BO3)3(OH)3(OH) Nickel-Strunz 09.CK.
min:adamite	Adamite	Zn2(AsO4)(OH) Nickel-Strunz 08.BB.30
min:adamsite-y	Adamsite-(Y)	NaY[CO3]2 · 6H2O Nickel-Strunz 05.CC.30
min:addibischoffite	Addibischoffite	Ca2Al6Al6O20 Nickel-Strunz 04.BC.
min:adelite	Adelite	CaMg(AsO4)(OH) Nickel-Strunz 08.BH.35
min:admontite	Admontite	MgB6O10 · 7H2O Nickel-Strunz 06.FA.15
min:adolfpateraite	Adolfpateraite	K(UO2)(SO4)(OH)(H2O) Nickel-Strunz 07.EC.
min:adranosite	Adranosite	(NH4)4NaAl2(SO4)4Cl(OH)2 Nickel-Strunz 07.BC.
min:adranosite-fe	Adranosite-(Fe)	(NH4)4NaFe3+2(SO4)4Cl(OH)2 Nickel-Strunz 07.BC.
min:adrianite	Adrianite	Ca12(Al4Mg3Si7)O32Cl6 Nickel-Strunz 09.AD.
min:adularia	Adularia	KAlSi3O8 Nickel-Strunz 09.FA.30
min:aegirine	Aegirine	NaFe3+Si2O6 Nickel-Strunz 09.DA.25
min:aegirine-augite	Aegirine-augite	(NaaCabFe2+cMgd)(Fe3+eAlfFe2+gMgh)Si2O6 Nickel-Strunz 09.DA.20
min:aenigmatite	Aenigmatite	Na4[Fe2+10Ti2]O4[Si12O36] Nickel-Strunz 09.DH.40
min:aerinite	Aerinite	(Ca5.1Na0.5)(Fe3+,Al,Fe2+,Mg)4(Al,Mg)6[HSi12O36(OH)12][(CO3)1.2(H2O)12] Nickel-Strunz 09.DB.45
min:aerugite	Aerugite	Ni8.5(AsO4)2As5+O8 Nickel-Strunz 08.BC.15
min:aeschynite-group	Aeschynite Group	AD2O6 Nickel-Strunz 04.DL.05
min:aeschynite-ce	Aeschynite-(Ce)	(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6 Nickel-Strunz 04.DF.05
min:aeschynite-nd	Aeschynite-(Nd)	(Nd,Ln,Ca)(Ti,Nb)2(O,OH)6 Nickel-Strunz 04.DF.05
min:aeschynite-y	Aeschynite-(Y)	(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6 Nickel-Strunz 04.DF.05
min:afanasyevaite	Afanasyevaite	Ca8[Si2O7]OCl2 Nickel-Strunz 09.HA.30
min:afghanite	Afghanite	(Na,K)22Ca10(Si24Al24O96)(SO4)6Cl6 Nickel-Strunz 09.FB.05
min:afmite	Afmite	Al3(OH)4(H2O)3(PO4)(PO3OH) · H2O Nickel-Strunz 08.DD.15
min:afwillite	Afwillite	Ca3(HSiO4)2 · 2H2O Nickel-Strunz 09.AG.75
min:agaite	Agaite	Pb3CuTeO5(OH)2(CO3) Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:agakhanovite-y	Agakhanovite-(Y)	(YCa)–¡2KBe3Si12O30 Nickel-Strunz 09.CM. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:agardite-ce	Agardite-(Ce)	CeCu6(AsO4)3(OH)6 · 3H2O Nickel-Strunz 08.DL.15
min:agardite-la	Agardite-(La)	LaCu6(AsO4)3(OH)6 · 3H2O Nickel-Strunz 08.DL.15
min:agardite-nd	Agardite-(Nd)	NdCu6(AsO4)3(OH)6 · 3H2O Nickel-Strunz 08.DL.15
min:agardite-y	Agardite-(Y)	YCu6(AsO4)3(OH)6 · 3H2O Nickel-Strunz 08.DL.15
min:agmantinite	Agmantinite	Ag2MnSnS4 Nickel-Strunz 02.CB.
min:agrellite	Agrellite	NaCa2Si4O10F Nickel-Strunz 09.DH.75
min:agricolaite	Agricolaite	K4(UO2)(CO3)3 Nickel-Strunz 05.ED.50
min:agrinierite	Agrinierite	K2(Ca,Sr)[(UO2)3O3(OH)2]2 · 5H2O Nickel-Strunz 04.GB.05
min:aguilarite	Aguilarite	Ag4SeS Nickel-Strunz 02.BA.55
min:aheylite	Aheylite	(Fe2+,Zn)Al6(PO4)4(OH)8 · 4H2O Nickel-Strunz 08.DD.15
min:ahlfeldite	Ahlfeldite	Ni(SeO3) · 2H2O Nickel-Strunz 04.JH.10
min:ahrensite	Ahrensite	SiFe2O4 Nickel-Strunz 09.AC.
min:aikinite	Aikinite	PbCuBiS3 Nickel-Strunz 02.HB.05a
min:aiolosite	Aiolosite	Na4Bi(SO4)3Cl Nickel-Strunz 07.BD.20
