label	s	strunz
02.A Sulfide or sulfosalt alloy	strunz:s02_A	
02.B Metal sulfide M:S > 1:1	strunz:s02_B	
02.C Metal sulfide (M = S)	strunz:s02_C	
02.D Metal sulfide (M < S)	strunz:s02_D	
"02.E Metal sulfide, M: S <= 1:2"	strunz:s02_E	
02.F Other sulfides	strunz:s02_F	
"02.G Sulfarsenite, sulfantimonite, or sulfbismuthite"	strunz:s02_G	
02.H SnS type sulfosalt	strunz:s02_H	
02.J PbS type sulfosalt	strunz:s02_J	
02.K Sulfarsenate or Sulfantimonate	strunz:s02_K	
02.L Other sulfosalt	strunz:s02_L	
02.M Oxysulfosalt	strunz:s02_M	
Abellaite	gcmin:abellaite	05.BE.X
Abelsonite	gcmin:abelsonite	10.CA.20
Abenakiite-(Ce)	gcmin:abenakiite-ce	09.CK.10
Abernathyite	gcmin:abernathyite	08.EB.15
Abhurite	gcmin:abhurite	03.DA.30
Abramovite	gcmin:abramovite	02.HF.25a
Abswurmbachite	gcmin:abswurmbachite	09.AG.05
Abuite	gcmin:abuite	08.B
Acanthite	gcmin:acanthite	02.BA.35
Acanthite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46605>	
Acetamide	gcmin:acetamide	10.AA.20
Achalaite	gcmin:achalaite	04.D
Achyrophanite	gcmin:achyrophanite	08.BF.30
Achávalite	gcmin:achavalite	02.CC.05
Acmonidesite	gcmin:acmonidesite	07.BC
Actinolite	gcmin:actinolite	09.DE.10
Actinolite Root Name Group	<https://w3id.org/geochem/1.0/min/grouplexicon/52952>	
Acuminite	gcmin:acuminite	03.CC.10
Adamite	gcmin:adamite	08.BB.30
Adamsite-(Y)	gcmin:adamsite-y	05.CC.30
Adanite	gcmin:adanite	07.BD
Adelite	gcmin:adelite	08.BH.35
Adelite-Descloizite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29251>	
Admontite	gcmin:admontite	06.FA.15
Adolfpateraite	gcmin:adolfpateraite	07.EC
Adranosite	gcmin:adranosite	07.BC
Adranosite-(Fe)	gcmin:adranosite-fe	07.BC
Aegirine	gcmin:aegirine	09.DA.25
Aegirine-augite	gcmin:aegirine-augite	09.DA.20
Aenigmatite	gcmin:aenigmatite	09.DH.40
